img_path,date,amount,ISP
../isp_images/upload_image_3.png.png,2022-05-31,800.00,Dialog
../isp_images/upload_image_4.png.png,2022-07-04,"2,226.56",Dialog
../isp_images/upload_image_5.png.png,2022-07-15,800.00,Dialog
../isp_images/upload_image_6.png.png,2022-08-07,800.00,Dialog
../isp_images/upload_image_106.png.png,2023-09-07,800.00,Dialog
../isp_images/upload_image_107.png.png,2023-10-07,1800.00,Dialog
../isp_images/upload_image_document (10)-1.png.png,02/10/2022,"3,585.79",SLMOBITEL
../isp_images/upload_image_image1-1.png.png,02/08/2023,"7,317.28",SLMMOBITEL
../isp_images/upload_image_image2-1.png.png,02/07/2023,"7,551.97",SLMOBITEL
../isp_images/upload_image_image3-1.png.png,02/06/2023,"7,828.77",SLMMOBITEL
../isp_images/upload_image_image99-1.png.png,02/05/2023,"3,432.50",SLMMOBITEL
../isp_images/upload_image_image100-1.png.png,02/04/2023,"2,454.90",SLMMOBITEL
../isp_images/upload_image_image101-1.png.png,02/03/2023,"8,000.00",SLMMOBITEL
../isp_images/upload_image_image102-1.png.png,02/02/2023,"4,444.44",SLMMOBITEL
../isp_images/upload_image_image103-1.png.png,02/01/2023,"9,900,.00",SLMMOBITEL
../isp_images/upload_image_image104-1.png.png,02/09/2023,"6,900,.00",SLMMOBITEL
../isp_images/upload_image_image105-1.png.png,02/10/2023,"4,530,.50",SLMMOBITEL
../isp_images/upload_image_12.png.png,2023-11-29,8005.55,Dialog
