img_path,bill_type,bill_date,bill_amount
test_images/1000-receipt.jpg,Itemized,2016-05-26,56.58
test_images/1001-receipt.jpg,Itemized,2015-04-25,69.25
test_images/1004-receipt.jpg,Itemized,2019-05-18,15.03
test_images/1006-receipt.jpg,Itemized,2018-11-18,93.58
test_images/1008-receipt.jpg,Itemized,,24.47
test_images/1009-receipt.jpg,Itemized,,30.76
test_images/1010-receipt.jpg,Itemized,2018-07-21,77.83
test_images/1023-receipt.jpg,Itemized,2017-06-16,30.15
test_images/1029-receipt.jpg,Itemized,2017-05-09,30.98
test_images/1036-receipt.jpg,Itemized,2017-11-18,52.76
test_images/1041-receipt.jpg,Itemized,2015-02-08,17.0
test_images/1042-receipt.jpg,Itemized,2019-02-11,55.39
test_images/1052-receipt.jpg,Itemized,2016-09-24,94.18
test_images/1053-receipt.jpg,Itemized,2019-05-03,52.47
test_images/1056-receipt.jpg,Itemized,2019-07-30,152.00
test_images/1060-receipt.jpg,Itemized,2017-12-17,83.5
test_images/1066-receipt.jpg,Itemized,2019-07-14,82.00
test_images/1077-receipt.jpg,Itemized,2019-03-24,69.79
test_images/1040-receipt.jpg,Itemized,2019-04-19,28.04
test_images/1043-receipt.jpg,Itemized,2019-06-23,26.67
test_images/1044-receipt.jpg,Itemized,2019-05-21,10.94
test_images/1045-receipt.jpg,Itemized,2018-06-24,22.03
test_images/1046-receipt.jpg,Itemized,2019-03-19,38.86
test_images/1047-receipt.jpg,Itemized,2017-09-23,85.27
test_images/1048-receipt.jpg,Itemized,2018-11-01,91.45
test_images/1049-receipt.jpg,Itemized,2019-07-19,38.75
test_images/1050-receipt.jpg,Itemized,2017-09-08,26.96
test_images/1051-receipt.jpg,Itemized,2016-04-10,10.70
